SampleID,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2
"Dinophysis norvegica Claparède & Lachmann, 1859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diplopsalis lenticula Bergh, 1881",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gambierdiscus toxicus R.Adachi & Y.Fukuyo, 1979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonyaulax spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gonyaulax polygramma F.Stein, 1883",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonyaulax verior Sournia 1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1742,2904,,,,,2904,8800,13200,1452
Gymnodinium spp.,26400,13200,13200,13200,8800,17600,704,,352,704,2904,13200,17600,30800,2904,4400,2904,,,2904,2904,4400,,2904,,1452,2904,,2904,352,,,,,,,,,,
Gyrodinium instriatum Freudenthal & J.J.Lee 1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyrodinium spirale (Bergh) Kofoid & Swezy 1921,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,
Heterocapsa circularis.,48400,10252,8800,17600,30800,8800,2904,13200,2904,,30800,30800,17600,30800,13200,17600,35200,17600,,13200,35200,30800,48400,26400,26400,2904,1452,,13200,,3485,2904,,,22000,35200,22000,,17600,
Heterocapsa triquetra (Ehrenberg) F.Stein 1883,1452,1452,1452,,,,,,,,1452,,1452,1452,2904,352,704,,,,13200,,1452,2904,,,,,352,,,,,,,,,,,
Karenia spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karlodinium spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Katodinium glaucum (Lebour) Loeblich III, 1965",,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noctiluca scintillans (Macartney) Kofoid & Swezy 1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oblea rotunda (Lebour) Balech ex Sournia, 1973",,,,,,,,,,,2904,,2904,1452,1452,,,,,,352,352,2904,,352,,,176,352,,,,,,,,,,,
Oxyrrhis marina Dujardin 1841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,
Oxytoxum spp.,,,,,,,,,,,,,,,,,,,,88,,,,,,,,176,,88,,,,,,,,,,176
Peridiniella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peridinium quinquecorne T.H.Abé 1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfiesteria spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,,
Pheopolykrikos hartmannii (W.Zimmermann) Matsuoka & Fukuyo 1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polykrikos spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Polykrikos schwartzii Bütschli, 1873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prorocentrum balticum (Lohmann) Loeblich III 1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prorocentrum concavum Fukuyo, 1981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prorocentrum donghaiense D.Lu 2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845,,,,,,,,,
Prorocentrum lima (Ehrenberg) F.Stein 1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prorocentrum mexicanum Osorio-Tafall, 1942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prorocentrum micans Ehrenberg, 1834",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prorocentrum cordatum (Ostenfeld) J.D.Dodge 1976 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prorocentrum sigmoides Böhm 1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prorocentrum triestinum J.Schiller, 1918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prorocentrum spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protoperidinium bipes (Paulsen) Balech 1974,,,,,,,,,,,,352,,,,,352,,,,352,352,2904,1452,,,352,176,176,,,,,,,,,,,
Protoperidinium conicum (Gran) Balech 1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protoperidinium depressum (Bailey) Balech 1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protoperidinium oblongum (Aurivillius) Parke & Dodge 1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protoperidinium oceanicum (Vanhöffen) Balech 1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protoperidinium spp.,352,176,,,,352,,,,,,352,,,,,,,,176,352,,,,,,,,,,,,,,,,,1452,,
Scrippsiella spp.,8800,2904,1452,2904,352,22000,,1452,352,,5852,2904,,352,352,,352,,,352,8800,2904,2904,13200,2904,17600,5852,,2904,352,1742,,,,,,,2904,13200,352
other dinoflagellates,,,,,,,,,,,,,,,,,,,,,,352,,,,,,,,,,,,,,,,,,
other dinoflagellate cysts,,53,,,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenedesmus spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenedesmus dimorphus (Turpin) Kützing 1834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halosphaera spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyramimonas spp.,,,,,,,,,,,1452,1452,,1452,,,,352,,,352,,,,,,,,,,,,,,,,,,,
Chattonella antiqua (Hada) C.Ono 1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chattonella marina (Subrahmanyan) Hara & Chihara, 1982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,
Chattonella spp.,,176,,,,,,,,,,,,,,,352,,352,,,,,,,,,,,,,,,,,,1452,1452,,
Gonyostomum semen (Ehrenberg) Diesing 1866,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heterosigma akashiwo (Y.Hada) Y.Hada ex Y.Hara & M.Chihara, 1987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dictyocha speculum Ehrenberg, 1839",,13200,,1452,,,,,,,,,,,,,,13200,,,,,,,,,,,,,,,,,,,,,,
Dictyocha fibula Ehrenberg 1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebria tripartita (Schumann) Lemmermann 1899,,,,,,1452,,,,,,,,,,,,,,,,,352,,,,,,,,,,,,,,,,,
Hemiselmis spp.,26400,,22000,,8800,1452,13200,,,,2904,1452,22000,17600,13200,22000,1452,,13200,,13200,13200,13200,13200,30800,13200,,2904,13200,,3485,13200,,39600,70400,39600,13200,17600,48400,13200
Rhodomonas spp.,,,,,,,,,,,,,,,,,,,,,,,,,1452,352,,,,,,,,,,,,,,
Teleaulax spp.,,,,,,,,,,,,,,,,,,,,,2904,,,352,,,,,,,,17600,39600,17600,22000,39600,13200,13200,13200,2904
Ochromonas spp.,,13200,,2904,,,,176,,,,,,,,,,5852,,,,,,,,,,,,,,,,,,,,,,
"Ochromonas danica E.G.Pringsheim, 1955",22000,,13200,,22000,,1452,2904,17600,1452,1452,,2904,13200,,,1452,,2904,2904,8800,13200,,2904,2904,,352,,,,21120,,,,2904,,2904,,,
Chrysochromulina polylepis Manton & Parke 1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysochromulina spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
